"participant_id","presentation_order","task_id","position_1","position_2","position_3","position_4"
31,12,1,"O02","O12","O05","O01"
32,1,11,"O10","O11","O06","O12"
32,2,1,"O05","O12","O02","O01"
32,3,2,"O11","O07","O04","O02"
32,4,10,"O01","O06","O07","O09"
32,5,8,"O12","O08","O04","O09"
32,6,4,"O05","O01","O10","O04"
32,7,7,"O05","O06","O07","O08"
32,8,9,"O04","O03","O06","O02"
32,9,5,"O01","O08","O11","O03"
32,10,3,"O10","O02","O08","O09"
32,11,6,"O10","O07","O03","O12"
32,12,12,"O05","O09","O11","O03"
33,1,7,"O07","O05","O08","O06"
33,2,6,"O12","O07","O10","O03"
33,3,11,"O10","O06","O12","O11"
33,4,12,"O05","O09","O03","O11"
33,5,2,"O04","O11","O02","O07"
33,6,4,"O05","O10","O04","O01"
33,7,8,"O12","O08","O04","O09"
33,8,3,"O08","O09","O10","O02"
33,9,9,"O03","O06","O04","O02"
33,10,10,"O01","O07","O06","O09"
33,11,5,"O03","O08","O11","O01"
33,12,1,"O02","O05","O12","O01"
34,1,1,"O05","O02","O01","O12"
34,2,10,"O07","O09","O06","O01"
34,3,4,"O01","O04","O05","O10"
34,4,8,"O08","O12","O09","O04"
34,5,7,"O05","O08","O07","O06"
34,6,2,"O02","O11","O04","O07"
34,7,12,"O11","O05","O03","O09"
34,8,5,"O11","O01","O03","O08"
34,9,9,"O06","O02","O04","O03"
34,10,11,"O10","O11","O12","O06"
34,11,6,"O12","O03","O07","O10"
34,12,3,"O08","O09","O02","O10"
35,1,8,"O08","O04","O12","O09"
35,2,7,"O06","O08","O05","O07"
35,3,9,"O06","O03","O02","O04"
35,4,6,"O07","O12","O03","O10"
35,5,11,"O12","O06","O11","O10"
35,6,3,"O08","O02","O10","O09"
35,7,5,"O03","O08","O01","O11"
35,8,10,"O01","O06","O09","O07"
35,9,2,"O11","O07","O02","O04"
35,10,1,"O12","O01","O02","O05"
35,11,12,"O11","O03","O09","O05"
35,12,4,"O01","O05","O04","O10"
36,1,1,"O01","O02","O05","O12"
36,2,6,"O10","O12","O07","O03"
36,3,2,"O07","O11","O04","O02"
36,4,9,"O04","O06","O03","O02"
36,5,4,"O05","O10","O01","O04"
36,6,12,"O03","O11","O05","O09"
36,7,8,"O09","O12","O04","O08"
36,8,11,"O06","O11","O12","O10"
36,9,5,"O01","O03","O08","O11"
36,10,3,"O02","O09","O10","O08"
36,11,7,"O06","O05","O08","O07"
36,12,10,"O01","O06","O07","O09"
37,1,1,"O12","O01","O02","O05"
37,2,6,"O10","O12","O03","O07"
37,3,3,"O02","O08","O10","O09"
37,4,4,"O05","O04","O01","O10"
37,5,11,"O06","O10","O11","O12"
37,6,2,"O04","O07","O11","O02"
37,7,5,"O03","O08","O11","O01"
37,8,8,"O04","O12","O08","O09"
37,9,10,"O01","O07","O09","O06"
37,10,12,"O05","O11","O03","O09"
37,11,7,"O08","O05","O07","O06"
37,12,9,"O03","O06","O04","O02"
38,1,11,"O11","O10","O06","O12"
38,2,12,"O05","O09","O03","O11"
38,3,3,"O09","O08","O10","O02"
38,4,4,"O10","O05","O01","O04"
38,5,6,"O07","O10","O12","O03"
38,6,8,"O04","O09","O08","O12"
38,7,10,"O01","O09","O07","O06"
38,8,1,"O05","O01","O02","O12"
38,9,2,"O07","O11","O02","O04"
38,10,7,"O05","O08","O07","O06"
38,11,9,"O02","O03","O04","O06"
38,12,5,"O01","O03","O08","O11"
39,1,10,"O07","O01","O06","O09"
39,2,6,"O10","O03","O07","O12"
39,3,11,"O06","O11","O12","O10"
39,4,7,"O06","O05","O07","O08"
39,5,4,"O04","O10","O05","O01"
39,6,2,"O07","O02","O04","O11"
39,7,12,"O11","O05","O03","O09"
39,8,3,"O10","O09","O02","O08"
39,9,1,"O05","O02","O12","O01"
39,10,8,"O09","O04","O12","O08"
39,11,5,"O08","O11","O03","O01"
39,12,9,"O06","O03","O04","O02"
40,1,8,"O04","O12","O09","O08"
40,2,9,"O06","O04","O02","O03"
40,3,3,"O02","O09","O08","O10"
40,4,11,"O11","O06","O12","O10"
40,5,6,"O07","O10","O03","O12"
40,6,12,"O05","O11","O09","O03"
40,7,5,"O08","O03","O11","O01"
40,8,2,"O04","O02","O07","O11"
40,9,4,"O05","O10","O01","O04"
40,10,1,"O01","O02","O05","O12"
40,11,7,"O08","O05","O06","O07"
40,12,10,"O09","O06","O07","O01"
41,1,12,"O11","O05","O03","O09"
41,2,1,"O05","O01","O02","O12"
41,3,7,"O07","O08","O05","O06"
41,4,8,"O04","O08","O09","O12"
41,5,6,"O03","O12","O07","O10"
41,6,11,"O12","O11","O10","O06"
41,7,10,"O01","O09","O06","O07"
41,8,3,"O02","O08","O10","O09"
41,9,5,"O03","O01","O11","O08"
41,10,4,"O01","O10","O05","O04"
41,11,9,"O03","O02","O06","O04"
41,12,2,"O04","O11","O07","O02"
42,1,11,"O06","O12","O10","O11"
42,2,9,"O04","O06","O03","O02"
42,3,5,"O03","O11","O08","O01"
42,4,4,"O05","O10","O04","O01"
42,5,7,"O07","O06","O05","O08"
42,6,2,"O07","O11","O04","O02"
42,7,6,"O12","O10","O07","O03"
42,8,8,"O04","O12","O08","O09"
42,9,3,"O10","O09","O08","O02"
42,10,1,"O02","O05","O01","O12"
42,11,10,"O07","O06","O09","O01"
42,12,12,"O05","O03","O11","O09"
43,1,10,"O09","O01","O07","O06"
43,2,5,"O03","O01","O11","O08"
43,3,12,"O09","O05","O03","O11"
43,4,1,"O05","O01","O12","O02"
43,5,4,"O04","O01","O05","O10"
43,6,7,"O07","O05","O08","O06"
43,7,2,"O11","O04","O02","O07"
43,8,9,"O06","O02","O04","O03"
43,9,3,"O09","O08","O10","O02"
43,10,8,"O08","O12","O09","O04"
43,11,11,"O11","O12","O10","O06"
43,12,6,"O12","O10","O03","O07"
44,1,9,"O02","O04","O03","O06"
44,2,1,"O12","O05","O01","O02"
44,3,2,"O07","O04","O02","O11"
44,4,12,"O03","O09","O11","O05"
44,5,7,"O06","O05","O08","O07"
44,6,8,"O09","O04","O08","O12"
44,7,10,"O07","O09","O06","O01"
44,8,11,"O12","O11","O06","O10"
44,9,4,"O01","O10","O05","O04"
44,10,5,"O08","O11","O03","O01"
44,11,3,"O09","O08","O10","O02"
44,12,6,"O07","O10","O12","O03"
45,1,6,"O10","O07","O12","O03"
45,2,5,"O11","O03","O08","O01"
45,3,10,"O09","O06","O01","O07"
45,4,11,"O06","O10","O12","O11"
45,5,7,"O06","O07","O05","O08"
45,6,1,"O02","O12","O05","O01"
45,7,3,"O09","O08","O10","O02"
45,8,4,"O05","O01","O04","O10"
45,9,12,"O05","O11","O09","O03"
45,10,2,"O04","O11","O02","O07"
45,11,9,"O02","O06","O03","O04"
45,12,8,"O04","O12","O09","O08"
46,1,11,"O06","O12","O11","O10"
46,2,2,"O02","O07","O04","O11"
46,3,8,"O12","O08","O04","O09"
46,4,3,"O09","O10","O08","O02"
46,5,12,"O05","O03","O09","O11"
46,6,4,"O05","O10","O04","O01"
46,7,1,"O02","O01","O05","O12"
46,8,5,"O11","O08","O03","O01"
46,9,6,"O03","O07","O10","O12"
46,10,7,"O05","O08","O07","O06"
46,11,9,"O03","O02","O04","O06"
46,12,10,"O07","O06","O09","O01"
47,1,1,"O05","O01","O12","O02"
47,2,10,"O01","O07","O09","O06"
47,3,8,"O08","O12","O04","O09"
47,4,11,"O06","O11","O12","O10"
47,5,2,"O04","O07","O02","O11"
47,6,3,"O10","O08","O09","O02"
47,7,5,"O11","O01","O03","O08"
47,8,6,"O12","O07","O03","O10"
47,9,9,"O02","O03","O06","O04"
47,10,7,"O08","O06","O07","O05"
47,11,12,"O03","O09","O05","O11"
47,12,4,"O04","O01","O05","O10"
48,1,8,"O12","O04","O08","O09"
48,2,7,"O06","O07","O05","O08"
48,3,11,"O06","O11","O12","O10"
48,4,4,"O10","O04","O01","O05"
48,5,6,"O07","O10","O12","O03"
48,6,2,"O11","O02","O07","O04"
48,7,3,"O02","O09","O08","O10"
48,8,9,"O06","O03","O02","O04"
48,9,12,"O09","O05","O11","O03"
48,10,1,"O05","O12","O01","O02"
48,11,10,"O01","O09","O07","O06"
48,12,5,"O03","O01","O11","O08"
49,1,2,"O07","O11","O02","O04"
49,2,3,"O10","O08","O02","O09"
49,3,11,"O12","O06","O11","O10"
49,4,4,"O04","O05","O01","O10"
49,5,6,"O07","O03","O10","O12"
49,6,8,"O09","O08","O04","O12"
49,7,7,"O07","O08","O05","O06"
49,8,10,"O01","O07","O06","O09"
49,9,9,"O03","O06","O04","O02"
49,10,12,"O09","O05","O03","O11"
49,11,1,"O02","O01","O05","O12"
49,12,5,"O08","O03","O11","O01"
50,1,6,"O03","O12","O07","O10"
50,2,10,"O07","O09","O06","O01"
50,3,5,"O03","O11","O08","O01"
50,4,7,"O08","O07","O06","O05"
50,5,3,"O02","O08","O09","O10"
50,6,8,"O09","O08","O12","O04"
50,7,4,"O01","O04","O10","O05"
50,8,11,"O06","O11","O10","O12"
50,9,12,"O03","O05","O11","O09"
50,10,1,"O01","O02","O05","O12"
50,11,2,"O07","O11","O02","O04"
50,12,9,"O03","O06","O02","O04"
51,1,4,"O04","O10","O05","O01"
51,2,3,"O08","O10","O02","O09"
51,3,11,"O12","O10","O06","O11"
51,4,5,"O03","O08","O11","O01"
51,5,10,"O01","O09","O07","O06"
51,6,9,"O04","O06","O03","O02"
51,7,7,"O05","O08","O07","O06"
51,8,1,"O05","O02","O01","O12"
51,9,8,"O08","O04","O09","O12"
51,10,6,"O10","O07","O03","O12"
51,11,2,"O11","O07","O02","O04"
51,12,12,"O05","O09","O11","O03"
52,1,8,"O12","O04","O08","O09"
52,2,3,"O09","O08","O02","O10"
52,3,11,"O11","O10","O06","O12"
52,4,4,"O01","O10","O05","O04"
52,5,7,"O06","O08","O05","O07"
52,6,10,"O07","O01","O06","O09"
52,7,5,"O03","O08","O01","O11"
52,8,6,"O03","O10","O12","O07"
52,9,12,"O05","O11","O09","O03"
52,10,2,"O04","O02","O07","O11"
52,11,9,"O06","O04","O03","O02"
52,12,1,"O12","O02","O01","O05"
53,1,6,"O03","O10","O12","O07"
53,2,1,"O01","O05","O02","O12"
53,3,9,"O02","O06","O04","O03"
53,4,7,"O06","O07","O05","O08"
53,5,11,"O11","O10","O12","O06"
53,6,10,"O06","O07","O01","O09"
53,7,4,"O01","O05","O10","O04"
53,8,5,"O11","O01","O08","O03"
53,9,2,"O11","O07","O02","O04"
53,10,3,"O02","O10","O08","O09"
53,11,12,"O03","O05","O11","O09"
53,12,8,"O09","O12","O04","O08"
54,1,10,"O01","O07","O09","O06"
54,2,2,"O11","O04","O07","O02"
54,3,7,"O06","O08","O05","O07"
54,4,8,"O08","O12","O09","O04"
54,5,5,"O11","O03","O08","O01"
54,6,4,"O01","O05","O04","O10"
54,7,12,"O03","O05","O09","O11"
54,8,3,"O08","O09","O02","O10"
54,9,9,"O04","O02","O06","O03"
54,10,11,"O06","O11","O10","O12"
54,11,1,"O05","O12","O02","O01"
54,12,6,"O12","O03","O10","O07"
55,1,9,"O06","O02","O04","O03"
55,2,3,"O08","O10","O09","O02"
55,3,7,"O07","O06","O08","O05"
55,4,4,"O01","O04","O05","O10"
55,5,1,"O02","O01","O12","O05"
55,6,2,"O02","O11","O04","O07"
55,7,12,"O05","O09","O03","O11"
55,8,8,"O08","O04","O09","O12"
55,9,11,"O06","O11","O12","O10"
55,10,5,"O11","O03","O08","O01"
55,11,10,"O01","O06","O07","O09"
55,12,6,"O07","O03","O10","O12"
56,1,1,"O01","O12","O02","O05"
56,2,2,"O04","O07","O11","O02"
56,3,10,"O01","O07","O09","O06"
56,4,11,"O12","O11","O10","O06"
56,5,7,"O08","O07","O05","O06"
56,6,5,"O11","O08","O03","O01"
56,7,8,"O08","O04","O09","O12"
56,8,12,"O03","O05","O09","O11"
56,9,9,"O03","O02","O06","O04"
56,10,4,"O05","O01","O10","O04"
56,11,3,"O08","O09","O02","O10"
56,12,6,"O12","O07","O10","O03"
57,1,2,"O04","O07","O02","O11"
57,2,12,"O11","O09","O03","O05"
57,3,1,"O02","O12","O01","O05"
57,4,4,"O05","O01","O10","O04"
57,5,3,"O08","O10","O09","O02"
57,6,7,"O06","O05","O08","O07"
57,7,9,"O04","O03","O02","O06"
57,8,5,"O03","O11","O08","O01"
57,9,6,"O10","O03","O07","O12"
57,10,8,"O12","O08","O09","O04"
57,11,10,"O09","O07","O01","O06"
57,12,11,"O12","O10","O11","O06"
58,1,5,"O01","O08","O11","O03"
58,2,3,"O08","O10","O02","O09"
58,3,12,"O05","O03","O11","O09"
58,4,9,"O03","O04","O02","O06"
58,5,8,"O09","O12","O08","O04"
58,6,7,"O08","O05","O07","O06"
58,7,2,"O07","O02","O11","O04"
58,8,4,"O01","O04","O10","O05"
58,9,11,"O12","O10","O11","O06"
58,10,10,"O01","O06","O09","O07"
58,11,6,"O10","O12","O07","O03"
58,12,1,"O05","O02","O01","O12"
